Title,year,Director,Writer,imdbID,Bechdel Score,dubious,year submitted,decade,Rated,imdbVotes,imdbRating,Genre
Man&#39;s Favorite Sport?,1964,Howard Hawks,"Pat Frank, John Fenton Murray, Steve McNeil",58324,2,0.0,2011,1960,Approved,5828,7.1,"Comedy, Romance"
"Yellow One, The",1964,Robert Siodmak,"Karl May, Georg Marischka, Robert Siodmak",58553,1,0.0,2021,1960,N/A,876,5.8,Adventure
Bunny Lake Is Missing,1965,Otto Preminger,"John Mortimer, Penelope Mortimer, Marryam Modell",58997,3,0.0,2014,1960,Not Rated,9870,7.3,"Drama, Mystery, Thriller"
Daikaiju Gamera,1965,Noriaki Yuasa,Niisan Takahashi,59080,2,0.0,2015,1960,Not Rated,3655,5.2,"Action, Horror, Sci-Fi"
Pyramid of the Sun God,1965,Robert Siodmak,"Karl May, Ladislas Fodor, Robert A. Stemmle",59621,1,0.0,2021,1960,N/A,541,5.2,"Western, Adventure"
Repulsion,1965,Roman Polanski,"Roman Polanski, Gérard Brach, David Stone",59646,3,0.0,2011,1960,Not Rated,55792,7.6,"Drama, Horror, Thriller"
Murderers&#39; Row,1966,Henry Levin,"Herbert Baker, Donald Hamilton",60728,1,0.0,2022,1960,Approved,2377,5.8,"Action, Adventure, Comedy"
Black Girl,1966,Ousmane Sembene,Ousmane Sembene,60758,3,0.0,2016,1960,Not Rated,5642,7.4,Drama
Torn Curtain,1966,Alfred Hitchcock,"Brian Moore, Willis Hall, Keith Waterhouse",61107,3,1.0,2014,1960,PG,28525,6.6,"Drama, Romance, Thriller"
Who&#39;s Afraid of Virginia Woolf?,1966,Mike Nichols,"Ernest Lehman, Edward Albee",61184,1,0.0,2011,1960,Not Rated,78491,8.0,Drama
Hang &#39;Em High,1968,Ted Post,"Leonard Freeman, Mel Goldberg",61747,2,0.0,2012,1960,M,41721,7.0,"Drama, Western"
"Jungle Book, The",1967,Wolfgang Reitherman,"Larry Clemmons, Ralph Wright, Ken Anderson",61852,1,0.0,2009,1960,G,193585,7.6,"Animation, Adventure, Comedy"
Smashing Time,1967,Desmond Davis,George Melly,62281,3,0.0,2014,1960,Not Rated,607,5.9,"Comedy, Musical"
Thoroughly Modern Millie,1967,George Roy Hill,Richard Morris,62362,3,0.0,2011,1960,G,6863,6.9,"Comedy, Musical, Romance"
Wait Until Dark,1967,Terence Young,"Frederick Knott, Robert Carrington, Jane-Howard Hammerstein",62467,3,0.0,2012,1960,Not Rated,32829,7.7,Thriller
Gamera vs. Viras,1968,"Noriaki Yuasa, Shigeo Tanaka",Niisan Takahashi,63000,2,0.0,2016,1960,Not Rated,1804,4.5,"Action, Adventure, Family"
Night of the Living Dead,1968,George A. Romero,"John A. Russo, George A. Romero",63350,3,0.0,2012,1960,Not Rated,135521,7.8,"Horror, Thriller"
"Producers, The",1968,Mel Brooks,Mel Brooks,63462,0,0.0,2010,1960,PG,58493,7.5,"Comedy, Music"
Hour of the Wolf,1968,Ingmar Bergman,Ingmar Bergman,63759,1,0.0,2014,1960,Not Rated,21983,7.5,"Drama, Horror, Mystery"
If....,1968,Lindsay Anderson,"David Sherwin, John Howlett",63850,1,0.0,2011,1960,X,24841,7.4,"Crime, Drama"
"Phantom Tollbooth, The",1970,"Chuck Jones, Abe Levitow, Dave Monahan","Chuck Jones, Sam Rosen, Norton Juster",64806,1,0.0,2011,1970,G,3416,6.7,"Animation, Adventure, Comedy"
"House That Dripped Blood, The",1971,Peter Duffell,"Robert Bloch, Russ Jones",65854,3,0.0,2016,1970,PG,7173,6.5,"Drama, Fantasy, Horror"
THX 1138,1971,George Lucas,"George Lucas, Walter Murch",66434,0,0.0,2009,1970,GP,53617,6.7,"Drama, Sci-Fi, Thriller"
"L&#39;aventure, c&#39;est l&#39;aventure",1972,Claude Lelouch,"Claude Lelouch, Pierre Uytterhoeven",66798,0,0.0,2015,1970,R,2430,6.8,"Adventure, Comedy, Crime"
La nuit des etoiles filantes,1973,"Jesús Franco, Pierre Quérut, Jean Rollin","Jesús Franco, Paul D'Ales",66914,3,0.0,2021,1970,Not Rated,2669,4.9,Horror
Godzilla vs. the Smog Monster (Godzilla vs. Hedorah),1971,"Yoshimitsu Banno, Ishirô Honda","Yoshimitsu Banno, Takeshi Kimura",67148,3,1.0,2015,1970,PG,6175,6.0,"Animation, Action, Family"
Let&#39;s Scare Jessica to Death,1971,John D. Hancock,"John D. Hancock, Lee Kalcheim, Sheridan Le Fanu",67341,3,0.0,2013,1970,GP,9091,6.4,"Drama, Horror, Mystery"
Punishment Park,1971,Peter Watkins,Peter Watkins,67633,3,0.0,2019,1970,R,7436,7.7,"Drama, Thriller"
Shaft,1971,Gordon Parks,"Ernest Tidyman, John D.F. Black",67741,1,0.0,2011,1970,R,20427,6.6,"Action, Crime, Thriller"
"Emigrants, The",1971,Jan Troell,"Bengt Forslund, Jan Troell, Vilhelm Moberg",67919,3,0.0,2019,1970,PG,7194,8.0,"Drama, History"
El ataque de los muertos sin ojos [Return of the Evil Dead],1973,Amando de Ossorio,Amando de Ossorio,68232,3,0.0,2017,1970,Not Rated,2902,5.8,"Action, Adventure, Fantasy"
"Last House on the Left, The",1972,Wes Craven,"Wes Craven, Ulla Isaksson",68833,3,0.0,2016,1970,R,39313,5.9,"Crime, Horror, Thriller"
Don&#39;t look now,1973,Nicolas Roeg,"Daphne Du Maurier, Allan Scott, Chris Bryant",69995,3,0.0,2010,1970,R,60122,7.2,"Drama, Horror, Mystery"
Enter the Dragon,1973,Robert Clouse,"Michael Allin, Bruce Lee",70034,1,0.0,2019,1970,R,110566,7.6,"Action, Crime, Thriller"
Sisters,1972,Brian De Palma,"Brian De Palma, Louisa Rose",70698,3,0.0,2021,1970,R,19833,6.9,"Horror, Mystery, Thriller"
Amarcord,1973,Federico Fellini,"Federico Fellini, Tonino Guerra",71129,2,0.0,2022,1970,R,45858,7.9,"Comedy, Drama"
Kozure Okami: Jigoku e ikuzo! Daigoro,1974,Yoshiyuki Kuroda,"Kazuo Koike, Goseki Kojima, Tsutomu Nakamura",71695,0,0.0,2020,1970,Not Rated,4192,7.3,"Action, Adventure, Drama"
Vampyres,1974,José Ramón Larraz,"Diana Daubeney, José Ramón Larraz, Thomas Owen",72354,3,0.0,2018,1970,R,4142,6.1,Horror
Jaws,1975,Steven Spielberg,"Peter Benchley, Carl Gottlieb",73195,3,0.0,2011,1970,PG,641261,8.1,"Adventure, Mystery, Thriller"
Terror of Mechagodzilla,1975,"Ishirô Honda, Jun Fukuda",Yukiko Takayama,73373,1,0.0,2015,1970,G,5414,6.1,"Action, Adventure, Family"
Blonde in Black Leather,1975,Carlo Di Palma,"Barbara Alberti, Carlo Di Palma, Amedeo Pagani",73598,3,0.0,2016,1970,PG,217,5.5,"Comedy, Drama, Thriller"
Family Plot,1976,Alfred Hitchcock,"Ernest Lehman, Victor Canning",74512,3,0.0,2013,1970,PG,24330,6.8,"Comedy, Crime, Drama"
3 Women,1977,Robert Altman,"Robert Altman, Patricia Resnick",75612,3,0.0,2011,1970,PG,16801,7.7,"Drama, Mystery, Thriller"
Desperate Living,1977,John Waters,John Waters,75936,3,0.0,2016,1970,X,5771,7.0,"Comedy, Crime, Fantasy"
"Devil, Probably, The",1977,Robert Bresson,Robert Bresson,75938,2,0.0,2012,1970,Not Rated,4452,7.1,Drama
House,1977,Nobuhiko Ôbayashi,"Chiho Katsura, Chigumi Ôbayashi",76162,3,0.0,2011,1970,Not Rated,32123,7.3,"Comedy, Horror"
Girlfriends,1978,Claudia Weill,"Claudia Weill, Vicki Polon",77613,3,0.0,2012,1970,PG,2948,7.2,"Comedy, Drama"
"Hills Have Eyes, The",1977,Wes Craven,Wes Craven,77681,3,0.0,2016,1970,R,38041,6.3,"Horror, Thriller"
L&#39;hypothese du tableau vole,1979,Raúl Ruiz,"Raúl Ruiz, Pierre Klossowski",77707,0,0.0,2013,1970,N/A,1161,7.4,"Drama, Mystery"
H&ouml;stsonaten,1978,Ingmar Bergman,Ingmar Bergman,77711,3,0.0,2009,1970,PG,36673,8.1,"Drama, Music"
Midnight Express,1978,Alan Parker,"Oliver Stone, Billy Hayes, William Hoffer",77928,0,0.0,2012,1970,R,86165,7.5,"Biography, Crime, Drama"
Murder by Natural Causes,1979,Robert Day,"Richard Levinson, William Link",79593,1,0.0,2018,1970,N/A,832,7.6,"Crime, Drama, Mystery"
Rocky II,1979,Sylvester Stallone,Sylvester Stallone,79817,1,0.0,2016,1970,PG,225491,7.3,"Drama, Sport"
Airplane!,1980,"Jim Abrahams, David Zucker, Jerry Zucker","Jim Abrahams, David Zucker, Jerry Zucker",80339,3,1.0,2010,1980,PG,253311,7.7,Comedy
American Gigolo,1980,Paul Schrader,Paul Schrader,80365,3,0.0,2021,1980,R,28508,6.3,"Crime, Drama, Mystery"
"Nude Bomb, The",1980,Clive Donner,"Mel Brooks, Buck Henry, Arne Sultan",81249,1,0.0,2010,1980,PG,3478,5.1,"Action, Comedy, Crime"
Xanadu,1980,Robert Greenwald,"Richard Christian Danus, Marc Reid Rubel",81777,3,0.0,2012,1980,PG,14953,5.3,"Fantasy, Musical, Romance"
For Your Eyes Only,1981,John Glen,"Richard Maibaum, Michael G. Wilson, Ian Fleming",82398,3,0.0,2014,1980,PG,105955,6.7,"Action, Adventure, Thriller"
Halloween II,1981,Rick Rosenthal,"John Carpenter, Debra Hill",82495,3,0.0,2013,1980,R,98570,6.5,Horror
My Dinner With Andre,1981,Louis Malle,"Wallace Shawn, Andre Gregory",82783,0,0.0,2010,1980,PG,24702,7.7,"Comedy, Drama"
"Prowler, The",1981,Joseph Zito,"Glenn Leopold, Neal Barbera, Eric Lewald",82951,3,0.0,2018,1980,R,12558,5.9,"Horror, Mystery, Thriller"
Thief,1981,Michael Mann,"Michael Mann, Frank Hohimer",83190,0,0.0,2019,1980,R,36893,7.4,"Action, Crime, Drama"
Countryman,1982,Dickie Jobson,"Dickie Jobson, Michael Thomas",83762,0,0.0,2013,1980,R,602,6.6,Drama
First Blood,1982,Ted Kotcheff,"David Morrell, Michael Kozoll, William Sackheim",83944,0,0.0,2012,1980,R,267398,7.7,"Action, Adventure, Thriller"
Mortelle randonn&eacute;e,1983,Claude Miller,"Marc Behm, Michel Audiard, Jacques Audiard",84358,3,0.0,2016,1980,N/A,2625,7.0,"Crime, Mystery, Romance"
Emmanuelle IV,1984,"Francis Leroi, Iris Letans","Emmanuelle Arsan, Francis Leroi, Iris Letans",85486,3,0.0,2021,1980,R,1676,3.4,"Drama, Romance"
"Hunger, The",1983,Tony Scott,"James Costigan, Michael Thomas, Whitley Strieber",85701,3,0.0,2010,1980,R,28207,6.6,"Drama, Horror"
Octopussy,1983,John Glen,"George MacDonald Fraser, Richard Maibaum, Michael G. Wilson",86034,2,0.0,2015,1980,PG,110685,6.5,"Action, Adventure, Thriller"
Trading Places,1983,John Landis,"Timothy Harris, Herschel Weingrod",86465,1,0.0,2010,1980,R,160415,7.5,Comedy
Under Fire,1983,Roger Spottiswoode,"Ron Shelton, Clayton Frohman",86510,1,0.0,2021,1980,R,8267,7.0,"Drama, War"
2010,1984,Peter Hyams,"Arthur C. Clarke, Peter Hyams",86837,1,0.0,2013,1980,PG,55734,6.7,"Adventure, Mystery, Sci-Fi"
Love Streams,1984,John Cassavetes,"Ted Allan, John Cassavetes",87644,3,0.0,2011,1980,PG-13,6432,7.7,Drama
Night of the Comet,1984,Thom Eberhardt,Thom Eberhardt,87799,3,0.0,2012,1980,PG-13,23034,6.3,"Comedy, Horror, Sci-Fi"
Protocol,1984,Herbert Ross,"Buck Henry, Charles Shyer, Nancy Meyers",87951,3,1.0,2013,1980,PG,5191,5.4,Comedy
Revenge of the Nerds,1984,Jeff Kanew,"Tim Metcalfe, Miguel Tejada-Flores, Steve Zacharias",88000,1,0.0,2014,1980,R,57207,6.6,Comedy
Secret Places,1984,Zelda Barron,"Zelda Barron, Janice Elliott",88075,3,0.0,2014,1980,PG,116,7.0,Drama
"Care Bears Movie, The",1985,Arna Selznick,"Peter Sauder, Linda Edwards, Muriel Fahrion",88885,3,0.0,2013,1980,G,5728,5.6,"Animation, Adventure, Comedy"
Day of the Dead,1985,George A. Romero,George A. Romero,88993,0,0.0,2013,1980,Not Rated,72782,7.1,"Horror, Thriller"
Desert Hearts,1985,Donna Deitch,"Jane Rule, Natalie Cooper",89015,3,0.0,2012,1980,R,6981,7.1,"Drama, Romance"
Desperately Seeking Susan,1985,Susan Seidelman,Leora Barish,89017,3,0.0,2010,1980,PG-13,25211,6.1,"Comedy, Drama"
Enemy Mine,1985,Wolfgang Petersen,"Barry Longyear, Edward Khmara",89092,0,0.0,2011,1980,PG-13,50355,6.8,"Action, Adventure, Drama"
Friday the 13th: A New Beginning,1985,Danny Steinmann,"Martin Kitrosser, David Cohen, Danny Steinmann",89173,3,0.0,2014,1980,R,42446,4.7,"Horror, Mystery, Thriller"
Wetherby,1985,David Hare,David Hare,90310,3,0.0,2011,1980,R,1697,6.5,"Drama, Mystery"
Il caso Moro,1986,Giuseppe Ferrara,"Robert Katz, Armenia Balducci, Giuseppe Ferrara",90805,0,0.0,2016,1980,N/A,471,7.1,"Crime, Drama, History"
Hannah and Her Sisters,1986,Woody Allen,Woody Allen,91167,3,0.0,2010,1980,PG-13,74761,7.8,"Comedy, Drama"
Howard The Duck,1986,Willard Huyck,"Steve Gerber, Willard Huyck, Gloria Katz",91225,3,1.0,2013,1980,PG,49699,4.7,"Action, Adventure, Comedy"
