Title,year,Bechdel Score,dubious,imdbID,year submitted
!Three Amigos!,1986,2,0.0,92086,2015
"&#39;Burbs, The",1989,1,0.0,96734,2011
"&#39;night, Mother",1986,3,0.0,90556,2012
"10,000 BC",2008,1,0.0,443649,2016
"100-Year-Old Man Who Climbed Out the Window and Disappeared, The",2013,1,0.0,2113681,2014
"13th Warrior, The",1999,1,0.0,120657,2012
"33, The",2015,3,1.0,2006295,2017
"355, The",2022,3,0.0,8356942,2022
"36 Crazy Fists, The",1977,0,0.0,76661,2013
"39 Steps, The",1935,3,0.0,26029,2010
"3Tails Movie: A Mermaid Adventure, The",2015,3,0.0,3391348,2017
"4 Months, 3 Weeks and 2 Days",2007,3,0.0,1032846,2010
"40 Year Old Virgin, The",2005,3,0.0,405422,2010
"400 Tricks of the Devil, The",1906,0,0.0,567,2014
"4th Floor, The",1999,3,0.0,167752,2013
"4th Man, The",1983,1,0.0,86543,2016
"5,000 Fingers of Dr. T., The",1953,0,0.0,45464,2018
"51st State, The",2001,0,0.0,227984,2008
"5th Wave, The",2016,2,0.0,2304933,2016
"6th Day, The",2000,3,1.0,216216,2014
"9th Life of Louis Drax, The",2016,1,0.0,3991412,2017
"A Dark, Dark Man",2019,1,0.0,10867768,2020
"A Jin de gushi / Ah Kam, the Stunt woman",1996,1,0.0,115485,2014
"A-Team, The",2010,0,0.0,429493,2010
"Abyss, The",1989,3,0.0,96754,2010
"Accidental Tourist, The",1988,2,0.0,94606,2016
"Accountant, The",2016,2,1.0,2140479,2016
"Accursed, The",2010,2,0.0,1666300,2019
"Accused, The",1988,3,1.0,94608,2011
"Adam Project, The",2022,1,0.0,2463208,2022
"Addams Family, The",1991,3,0.0,101272,2012
"Addams Family, The",2019,3,0.0,1620981,2020
"Addiction, The",1995,3,0.0,112288,2011
"Adjustment Bureau, The",2011,3,1.0,1385826,2011
"Adventurer: The Curse of the Midas Box, The",2014,1,0.0,1376213,2014
"Adventures of Baron Munchausen, The",1988,1,0.0,96764,2014
"Adventures of Buckaroo Banzai Across the 8th Dimension, The",1984,3,0.0,86856,2010
"Adventures of Ichabod and Mr. Toad, The",1949,0,0.0,41094,2016
"Adventures of Milo and Otis, The",1986,1,0.0,97050,2012
"Adventures of Priscilla, Queen of the Desert, The",1994,3,0.0,109045,2012
"Adventures of Robin Hood, The",1938,2,0.0,29843,2012
"Adventures of Sharkboy and Lavagirl 3-D, The",2005,1,0.0,424774,2011
"Adventures of Sherlock Holmes, The",1939,3,0.0,31022,2014
"Adventures of Tintin, The",2011,1,0.0,983193,2011
"Advocate&#39;s Devil, The",1997,2,0.0,126774,2023
"Aeronauts, The",2019,3,0.0,6141246,2020
"African Queen, The",1951,0,0.0,43265,2010
"Age of Adaline, The",2015,3,0.0,1655441,2015
"Age of Consent, The",1932,2,0.0,22614,2011
"Age of Innocence, The",1993,3,0.0,106226,2012
"Air I Breathe, The",2007,3,0.0,485851,2021
"Alexander and the Terrible, Horrible, No Good Very Bad Day",2014,3,0.0,1698641,2014
"All This, and Heaven Too",1940,2,0.0,32194,2010
"Alphabet Killer, The",2008,3,0.0,818165,2009
"Amazing Bulk, The",2010,0,0.0,1788453,2014
"Amazing Spider-Man, The",2012,2,1.0,948470,2012
"Ambushers, The",1967,2,0.0,62657,2022
"American President, The",1995,3,0.0,112346,2012
"American, The",2010,1,0.0,1440728,2010
"Americanization of Emily, The",1964,2,0.0,57840,2011
"Amityville Horror, The",1979,3,0.0,78767,2013
"Amityville Horror, The",2005,3,0.0,384806,2013
"Andromeda Strain, The",1971,3,1.0,66769,2021
"Angels&#39; Share, The",2012,1,0.0,1924394,2013
"Angry Birds Movie, The",2016,1,0.0,1985949,2018
"Angus, Thongs and Perfect Snogging",2008,3,0.0,963743,2012
"Ant Bully, The",2006,2,0.0,429589,2012
"Ant&oacute;nio Um, Dois, Tr&Ecirc;s",2017,3,0.0,6275840,2020
"Apartment, The",1960,3,0.0,53604,2011
"Ape, The",1940,3,0.0,32215,2011
"Architect, The",2006,3,0.0,466665,2011
"Arena, The",1974,3,0.0,69729,2021
"AristoCats, The",1970,3,0.0,65421,2010
"Arrival of a Train, The",1896,0,0.0,12,2015
"Art of Getting By, The",2011,1,0.0,1645080,2012
"Art of Racing in the Rain, The",2019,2,0.0,1478839,2019
"Artist, The",2011,1,1.0,1655442,2011
"Asphalt Jungle, The",1950,1,0.0,42208,2011
"Assassin Next Door, The",2009,3,0.0,1198153,2010
"Assassination of Jesse James by the Coward Robert Ford, The",2007,1,0.0,443680,2018
"Assassination of Richard Nixon, The",2004,1,1.0,364961,2016
"Assignment, The",2017,1,0.0,5034474,2022
"Assistant, The",2019,3,0.0,9000224,2021
"Associate, The",1996,3,0.0,115580,2010
"Astronomer&#39;s Dream; or, The Man in the Moon, The",1898,0,0.0,211,2014
"Atlantis Conspiracy, The",2001,3,0.0,253595,2014
"Aura, The",2005,1,0.0,420509,2014
"Autopsy of Jane Doe, The",2016,1,1.0,3289956,2017
"Avengers, The",1998,3,0.0,118661,2013
"Avengers, The",2012,1,0.0,848228,2012
"Aviator, The",2004,1,0.0,338751,2012
"Awakening, The",2011,3,0.0,1687901,2012
"Awful Truth, The",1937,3,0.0,28597,2015
"BFG, The",2016,3,0.0,3691740,2016
"Baader Meinhof Complex, The",2008,3,0.0,765432,2013
"Babadook, The",2014,3,0.0,2321549,2015
"Baby, The",1973,3,0.0,69754,2016
"Baby-Sitters Club, The",1995,3,0.0,112435,2012
"Babysitter, The",2017,3,0.0,4225622,2017
"Babysitters, The",2007,3,0.0,796302,2016
"Back-up Plan, The",2010,3,0.0,1212436,2010
"Bad Guys, The",2022,3,0.0,8115900,2022
"Bad Lieutenant: Port of Call - New Orleans, The",2009,3,0.0,1095217,2011
"Bad Mother&#39;s Handbook, The",2007,3,0.0,909010,2010
"Bad Seed, The",1956,3,0.0,48977,2010
"Bad Sleep Well, The",1960,1,0.0,54460,2021
"Bad and the Beautiful, The",1952,2,1.0,44391,2016
"Bag Man, The",2014,1,0.0,2212008,2014
"Baker&#39;s Wife, The",1938,1,0.0,30127,2015
"Bakery Girl of Monceau, The",1963,1,0.0,56884,2010
"Ballad of Buster Scruggs, The",2018,1,0.0,6412452,2018
"Ballad of Jack and Rose, The",2005,3,0.0,357110,2011
"Ballad of Narayama, The",1983,3,0.0,84390,2010
"Band Wagon, The",1953,1,0.0,45537,2010
"Band&#39;s Visit, The",2007,1,0.0,1032856,2010
"Banger Sisters, The",2002,3,0.0,280460,2012
"Bank Job, The",2008,3,0.0,200465,2008
"Banker, The",2020,1,0.0,6285944,2022
"Banshees of Inisherin, The",2022,3,0.0,11813216,2022
"Bar, The",2017,3,0.0,5121816,2022
"Barbarian Invasions, The",2003,3,0.0,338135,2011
"Barbershop, The",1894,0,0.0,229235,2021
"Barbie Diaries, The",2006,3,0.0,795338,2014
"Barkleys of Broadway, The",1949,3,0.0,41158,2010
"Basketball Diaries, The",1995,1,0.0,112461,2018
"Bat Whispers, The",1930,3,0.0,20668,2016
"Bat, The",1959,3,0.0,52602,2013
"Batman , The",2022,3,0.0,1877830,2022
"Batman: The Dark Knight Returns, part 1",2012,3,0.0,2313197,2013
"Batman: The Long Halloween, Part One",2021,3,1.0,14324650,2022
"Batman: The Long Halloween, Part Two",2021,1,0.0,14402926,2022
"Bay, The",2012,1,0.0,1713476,2013
"Beach Bum, The",2019,1,0.0,6511932,2020
"Beach, The",2000,1,0.0,163978,2013
"Beaches of Agnes, The",2008,3,0.0,1129435,2009
"Bear, The",1988,0,0.0,95800,2020
"Beast Within, The",1982,1,0.0,83629,2016
"Beast from 20,000 Fathoms, The",1953,1,0.0,45546,2017
"Beast of Yucca Flats, The",1961,0,0.0,54673,2011
"Beatles: Get Back, The",2021,3,1.0,9735318,2021
"Beguiled, The",2017,3,0.0,5592248,2017
"Belko Experiment, The",2016,3,0.0,1082807,2017
"Bell Jar, The",1979,3,0.0,78843,2015
"Bells of St Mary&#39;s, The",1945,3,0.0,37536,2022
"Belphegor, Phantom of the Louvre (Belphegor - Le fantome du Louvre)",2001,3,0.0,214529,2014
"Best Christmas Pageant Ever, The",1983,3,0.0,85231,2020
"Best Exotic Marigold Hotel, The",2011,3,0.0,1412386,2012
"Best Little Whorehouse in Texas, The",1982,3,0.0,83642,2013
"Best Man Holiday, The",2013,3,0.0,2083355,2014
"Best Offer, The",2013,1,0.0,1924396,2017
"Best Years of Our Lives, The",1946,2,0.0,36868,2013
"Best of Enemies, The",2019,3,0.0,4807408,2022
"Best of Youth, The",2003,3,0.0,346336,2010
"Beverly Hillbillies, The",1993,3,0.0,106400,2012
"Beyond, The",2017,3,0.0,5723416,2021
"Big Bad Swim, The",2006,3,0.0,460721,2010
"Big Bird Cage, The",1972,3,0.0,68273,2021
"Big Blue, The",1988,2,0.0,95250,2021
"Big Combo, The",1955,2,0.0,47878,2012
"Big Heat, The",1953,3,0.0,45555,2013
"Big Job, The",1965,3,0.0,58969,2022
"Big Kahuna, The",1999,0,0.0,189584,2011
"Big Lebowski, The",1998,1,0.0,118715,2009
"Big Parade, The",1925,2,0.0,15624,2014
"Big Short, The",2015,1,0.0,1596363,2016
"Big Sick, The",2017,3,0.0,5462602,2017
"Big Sky, The",1952,0,0.0,44419,2010
"Big Sleep, The",1946,1,0.0,38355,2010
"Big Tits Dragon, The",2010,3,0.0,1642252,2020
"Big Wedding, The",2013,3,0.0,1931435,2013
"Big Year, The",2011,2,1.0,1053810,2011
"Bikini Carwash Company, The",1992,3,0.0,103812,2014
"Birdcage, The",1996,2,1.0,115685,2013
"Birds, The",1963,3,0.0,56869,2011
"Birth of a Nation, The",1915,2,0.0,4972,2010
"Birth of a Nation, The",2016,1,0.0,4196450,2018
"Bitter Tea of General Yen, The",1932,3,0.0,23814,2023
"Bitter Tears of Petra von Kant , The",1972,3,0.0,68278,2016
"Bizarre, Bizarre",1937,3,0.0,27552,2018
"Black Cat, White Cat",1998,3,0.0,118843,2013
"Black Cauldron, The",1985,3,0.0,88814,2011
"Black Hole, The",1979,0,0.0,78869,2016
"Black Imp, The",1905,0,0.0,215575,2014
"Black Mama, White Mama",1973,3,0.0,68282,2010
"Black Power Mixtape 1967-1975, The",2011,3,0.0,1592527,2011
"Blackcoat&#39;s Daughter, The",2015,3,0.0,3286052,2018
"Blair Witch Project, The",1999,3,0.0,185937,2012
"Bleach: Fade to Black, I Call Your Name",2008,3,0.0,1339302,2016
"Blind Side, The",2009,2,0.0,878804,2011
"Blind Swordsman: Zatoichi, The",2003,2,0.0,363226,2010
"Bling Ring, The",2013,3,0.0,2132285,2013
"Blood In, Blood Out",1993,0,0.0,106469,2014
"Blot, The",1921,3,0.0,11979,2013
"Blue Angel, The",1930,1,0.0,20697,2010
"Blue Lagoon, The",1980,0,0.0,80453,2015
"Blue Light (Das Blaue Licht), The",1932,1,0.0,22694,2016
"Boat That Rocked, The",2009,3,0.0,1131729,2010
"Boat, The",2018,0,0.0,7468616,2021
"Bob&#146;s Burgers Movie, The",2022,3,0.0,7466442,2022
"Body Remembers When The World Broke Open, The",2019,3,0.0,8230872,2020
"Body, The",2012,3,1.0,1937149,2013
"Bodyguard, The",1992,2,0.0,103855,2020
"Bold Type, The",2017,3,0.0,6116060,2021
"Bon Cop, Bad Cop",2006,1,0.0,479647,2011
"Bonfire of the Vanities, The",1990,2,0.0,99165,2011
"Book Thief, The",2013,3,0.0,816442,2013
"Book of Birdie, The",2017,3,0.0,5142400,2017
"Book of Life, The",2014,3,0.0,2262227,2014
"Boondock Saints II: All Saints Day, The",2009,0,0.0,1300851,2011
"Boondock Saints, The",1999,0,0.0,144117,2010
"Borrowers, The",1997,3,0.0,118755,2023
"Boss Baby, The",2017,1,0.0,3874544,2017
"Boss, The",2016,3,0.0,2702724,2016
"Bostonians, The",1984,3,0.0,86992,2009
"Bourne Identity, The",1988,0,0.0,94791,2021
"Bourne Legacy, The",2012,3,0.0,1194173,2012
"Bourne Ultimatum, The",2007,2,0.0,440963,2014
"Box, The",2009,3,0.0,362478,2011
"Boxtrolls, The",2014,2,0.0,787474,2014
"Boy and the World, The",2013,0,0.0,3183630,2014
"Boy in the Striped Pajamas, The",2008,3,1.0,914798,2016
"Boy, The",2016,3,0.0,3882082,2016
"Boys from Brazil, The",1978,1,0.0,77269,2016
"Boys in the Band, The",1970,0,0.0,65488,2012
"Boys of Paul Street, The",1968,0,0.0,62164,2018
"Brain That Wouldn&#39;t Die, The",1962,2,0.0,52646,2011
"Brass Teapot, The",2012,3,0.0,1935902,2014
"Brave One, The",2007,3,0.0,476964,2008
"Breadwinner, The",2017,3,0.0,3901826,2018
"Break Up, The",2006,1,0.0,452594,2013
"Breaker Upperers, The",2018,3,0.0,6728096,2021
"Breed, The",2001,0,0.0,265104,2013
"Bride Wore Black, The",1968,3,0.0,61955,2013
"Bride of Frankenstein, The",1935,3,0.0,26138,2013
"Bride, The",2017,3,0.0,6095090,2019
"Brides of Dracula, The",1960,3,0.0,53677,2018
"Bridge on the River Kwai, The",1957,1,0.0,50212,2012
"Bridge, The",1959,3,0.0,52654,2020
"Brink&#39;s Job, The",1978,1,0.0,77275,2019
"Broken Circle Breakdown, The",2012,3,1.0,2024519,2013
"Bronze, The",2015,3,0.0,3859304,2016
"Brothers Bloom, The",2008,3,1.0,844286,2011
"Brothers Grimsby, The",2016,1,0.0,3381008,2018
"Brothers Solomon, The",2007,2,0.0,784972,2015
"Brown Bunny, The",2003,3,0.0,330099,2021
"Bubble, The",2022,3,0.0,13610562,2022
"Burning Plain, The",2008,3,0.0,1068641,2015
"Bye Bye Man, The",2017,3,0.0,4030600,2016
"Cabin in the Woods, The",2011,3,1.0,1259521,2012
"Cabinet of Dr. Caligari, The",1920,0,0.0,10323,2010
"Cable Guy, The",1996,1,0.0,115798,2009
"Caine Mutiny, The",1954,1,0.0,46816,2021
"Cake General, The",2018,3,0.0,6889032,2020
"Call of Cthulhu, The",2005,0,0.0,478988,2011
"Call, The",2013,3,0.0,1911644,2013
"Call, The",2020,3,0.0,10530176,2020
"Caller, The",2011,3,0.0,1525890,2013
"Cameraman, The",1928,0,0.0,18742,2011
"Campaign, The",2012,1,0.0,1790886,2012
"Captain from Kopenick, The",1956,1,0.0,49293,2021
"Captains, The",2011,1,0.0,1946421,2011
"Card Counter, The",2021,1,0.0,11196036,2022
"Care Bears Movie, The",1985,3,0.0,88885,2013
"Case of Hana and Alice, The",2015,3,0.0,4125300,2016
"Castle, The",1997,3,0.0,118826,2010
"Cat Has Nine Lives, The",1968,3,1.0,130141,2019
"Cat and the Moon, The",2019,1,0.0,5360232,2021
"Cat in the Hat, The",2003,3,0.0,312528,2021
"Cat&#39;s-Paw, The",1934,1,0.0,24961,2010
"Cell, The",2000,2,1.0,209958,2013
"Celluloid Closet, The",1995,3,0.0,112651,2011
"Chalk Garden, The",1964,3,0.0,57933,2016
"Champ, The",1931,1,0.0,21730,2020
"Change-Up, The",2011,1,0.0,1488555,2014
"Chaperone, The",2018,3,0.0,2690226,2019
"Charge of the Light Brigade, The",1936,1,0.0,27438,2010
"Chase, The",1946,1,0.0,38409,2014
"Chaser, The",2008,0,0.0,1190539,2014
"Cheat, The",1931,3,1.0,21735,2014
"Cheetah Girls , The",2003,3,0.0,800318,2016
"Children&#39;s Hour, The",1961,3,0.0,54743,2010
"China Syndrome, The",1979,3,0.0,78966,2011
"Chipmunk Adventure, The",1987,3,0.0,92752,2012
"Choice, The",2016,3,0.0,3797868,2018
"Chronicles of Narnia: Prince Caspian, The",2008,3,0.0,499448,2010
"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The",2005,3,0.0,363771,2010
"Chronicles of Narnia: The Voyage of the Dawn Treader, The",2010,3,0.0,980970,2011
"Chronicles of Riddick, The",2004,2,0.0,296572,2010
"Cider House Rules, The",1999,3,0.0,124315,2012
"Circle, The",2000,3,0.0,255094,2011
"Circle, The",2017,3,0.0,4287320,2017
"Circus, The",1928,0,0.0,18773,2011
"Citizen, The",2012,1,0.0,1942989,2016
"City of Lost Children, The",1995,3,1.0,112682,2014
"City of Your Final Destination, The",2009,3,0.0,896923,2011
"City of the Dead, The",1960,3,0.0,53719,2012
"Clan of the Cave Bear, The",1986,3,0.0,90848,2010
"Client List, The",2010,2,0.0,1625340,2011
"Client, The",1994,3,0.0,109446,2010
"Clinic, The",2010,3,0.0,1345772,2011
"Clock, The",2010,3,0.0,2008009,2011
"Cloverfield Paradox, The",2018,3,0.0,2548396,2018
"Coast Guard, The",2002,1,0.0,341384,2012
"Cocoanuts, The",1929,2,0.0,19777,2011
"Coin Heist, The",2017,3,0.0,5740806,2017
"Colony, The",2013,1,0.0,1160996,2013
"Colony, The",2015,3,0.0,4005402,2016
"Color Purple, The",1985,3,0.0,88939,2010
"Come Back to the Five and Dime, Jimmy Dean, Jimmy Dean",1982,3,0.0,83745,2011
"Commitments, The",1991,3,0.0,101605,2022
"Company You Keep, The",2012,1,0.0,1381404,2013
"Computer Wore Tennis Shoes, The",1969,1,0.0,65566,2011
"Concert, The",2009,2,0.0,1320082,2012
"Condemned, The",2007,1,0.0,443473,2011
"Conformist, The",1970,3,0.0,65571,2014
"Congress, The",2013,3,0.0,1821641,2014
"Conjuring 2, The",2016,3,0.0,3065204,2016
"Conjuring, The",2013,3,0.0,1457767,2013
"Conjuring: The Devil Made Me Do It, The",2021,1,0.0,7069210,2021
"Consequence of Feminism, The",1906,0,0.0,1260944,2016
"Conspirator, The",2010,3,1.0,968264,2011
"Constant Gardener, The",2005,3,0.0,387131,2010
"Conversation, The",1974,1,0.0,71360,2013
"Cook in Trouble, The",1904,0,0.0,215664,2014
"Cook, the Thief, His Wife &amp; Her Lover, The",1989,1,0.0,97108,2013
"Corn Is Green, The",1945,3,0.0,37614,2022
"Corpse Vanishes, The",1942,1,1.0,34613,2017
"Corridor, The",2010,0,0.0,1602617,2011
"Corrina, Corrina",1994,3,0.0,109484,2013
"Counselor, The",2013,3,0.0,2193215,2013
"Count of Monte Cristo, The",1934,1,0.0,25004,2010
"Count of Monte-Cristo, The",1975,1,0.0,72824,2021
"Courier, The",2020,3,1.0,8368512,2021
"Court Jester, The",1956,2,0.0,49096,2011
"Covenant, The",2006,3,1.0,475944,2015
"Craft, The",1996,3,0.0,115963,2010
"Craft: Legacy, The",2020,3,0.0,4685762,2021
"Craiglist Killer, The",2011,3,0.0,1772373,2013
"Cranes Are Flying, The",1957,3,0.0,50634,2010
"Crazies, The",1973,3,0.0,69895,2017
"Crazies, The",2010,3,0.0,455407,2010
"Crazy, Stupid, Love.",2011,3,0.0,1570728,2011
"Croods, The",2013,3,0.0,481499,2013
"Croods: A New Age, The",2020,3,0.0,2850386,2020
"Crouching Tiger, Hidden Dragon: Sword of Destiny",2016,3,0.0,2652118,2016
"Crow, The",1994,3,0.0,109506,2013
"Crowd, The",1928,1,0.0,18806,2014
"Crown and the Dragon, The",2013,3,1.0,1913178,2013
"Crucible, The",1996,3,0.0,115988,2017
"Cruel Sea, The",1953,3,0.0,45659,2011
"Cry of the Owl, The",2009,0,0.0,1034302,2015
"Crying Game, The",1992,2,0.0,104036,2012
"Cure, The",1995,1,0.0,112757,2022
"Cured, The",2017,3,0.0,3463106,2020
"Curious Case of Benjamin Button, The",2008,3,1.0,421715,2009
"Curse of La Llorona, The",2019,3,0.0,4913966,2019
"Curse of the Jade Scorpion, The",2001,3,0.0,256524,2016
"Curse of the Werewolf, The",1961,3,1.0,54777,2016
"Cutting Edge, The",1992,3,1.0,104040,2013
"DUFF, The",2015,3,0.0,1666801,2015
"Da Vinci Code, The",2006,1,0.0,382625,2014
"Dam Busters, The",1955,1,0.0,46889,2011
"Damned Thing, The",2014,1,0.0,3748076,2016
"Dance, Girl, Dance",1940,3,0.0,32376,2013
"Dancer and the Thief, The",2009,0,1.0,1243375,2012
"Dangerous Lives of Altar Boys, The",2002,1,0.0,238924,2013
"Danish Girl, The",2015,3,0.0,810819,2016
"Darjeeling Limited, The",2007,1,0.0,838221,2009
"Dark Corner, The",1946,1,0.0,38453,2014
"Dark Crystal, The",1982,1,0.0,83791,2010
"Dark Knight Rises, The",2012,1,0.0,1345836,2012
"Dark Knight, The",2008,3,1.0,468569,2008
"Dark Tower, The",2017,1,0.0,1648190,2017
"Darkest Hour, The",2011,3,0.0,1093357,2011
"Darkest Minds, The",2018,3,0.0,4073790,2018
"Darkness, The",2016,2,0.0,1878841,2017
"Dawn Patrol, The",1938,0,0.0,30044,2010
"Dawns Here are Quiet, The",1972,3,0.0,68161,2012
"Day of the Doctor, The",2013,3,1.0,2779318,2013
"Day of the Triffids, The",1962,3,0.0,55894,2010
"Day the Earth Stood Still, The",1951,3,0.0,43456,2011
"Day the Sky Exploded, The",1958,1,0.0,51951,2011
"Daytrippers, The",1996,3,0.0,116041,2014
"Dead Don&#39;t Die, The",2019,3,0.0,8695030,2020
"Dead Girl, The",2006,3,0.0,783238,2010
"Dead Inside, The",2011,1,0.0,1582270,2011
"Dead Zone, The",1983,1,0.0,85407,2014
"Death Kiss, The",1932,1,0.0,23935,2015
"Death and Life of John F. Donovan, The",2018,2,0.0,4042818,2019
"Death of Stalin, The",2017,1,0.0,4686844,2017
"Death of Superman, The",2018,3,0.0,7167658,2022
"Debt, The",2010,3,0.0,1226753,2011
"Decoy Bride, The",2011,3,0.0,1657299,2013
"Deep Blue Sea, The",2011,3,0.0,1700844,2012
"Deep End of the Ocean, The",1999,2,1.0,120646,2019
"Deer Hunter, The",1978,1,0.0,77416,2011
"Defiant Ones, The",1958,0,0.0,51525,2012
"Defiant Ones, The",1986,0,0.0,89010,2021
"Definitely, Maybe",2008,3,0.0,832266,2009
"Delinquents, The",1989,3,0.0,97182,2017
"Delta Force, The",1986,1,0.0,90927,2021
"Den, The",2013,3,0.0,2503154,2017
"Departed, The",2006,1,0.0,407887,2010
"Descendants, The",2011,3,0.0,1033575,2011
"Descent: Part 2, The",2009,3,0.0,1073105,2015
"Desert of the Tartars, The",1976,0,0.0,74400,2015
"Devil Inside, The",2012,3,0.0,1560985,2012
"Devil and Miss Jones, The",1941,3,0.0,33533,2010
"Devil&#39;s Carnival, The",2012,1,0.0,2204379,2015
"Devil&#39;s Hand, The",1962,2,0.0,55902,2013
"Devil&#39;s Rejects, The",2005,3,0.0,395584,2012
"Devil&#39;s Violinist, The",2013,3,0.0,2401715,2015
"Devil, Probably, The",1977,2,0.0,75938,2012
"Devilish Tenant, The",1909,0,0.0,127948,2014
"Devils, The",1971,3,0.0,66993,2016
"Diary of a Teenage Girl, The",2015,3,0.0,3172532,2016
"Dictator, The",2012,1,0.0,1645170,2012
"Dilemma, The",2011,1,0.0,1578275,2019
"Dinner Game, The",1998,1,0.0,119038,2014
"Dinner, The",2017,3,0.0,3203620,2018
"Dirties, The",2013,3,0.0,2334896,2015
"Dirty Dozen, The",1967,0,1.0,61578,2011
"Disappearance of Alice Creed, The",2009,0,0.0,1379177,2010
"Disappearance of Eleanor Rigby: Her, The",2014,3,0.0,3720788,2015
"Disappearance of Eleanor Rigby: Them, The",2014,3,0.0,3729920,2014
"Disappearance of Haruhi Suzumiya, The",2010,3,0.0,1572781,2023
"Disaster Artist, The",2017,3,0.0,3521126,2017
"Disciple, The",2010,2,0.0,1618390,2011
"Discovery, The",2017,3,0.0,5155780,2017
"Discreet Charm of the Bourgeoisie, The",1972,3,0.0,68361,2017
"Dish, The",2000,3,0.0,205873,2013
"Distant Voices, Still Lives",1988,3,0.0,95037,2011
"Divergent Series: Allegiant, The",2016,3,0.0,3410834,2016
"Divide, The",2011,3,0.0,1535616,2012
"Diving Bell and the Butterfly, The",2007,2,1.0,401383,2010
"Django Kill... If You Live, Shoot!",1967,0,0.0,62082,2021
"Django, Prepare a Coffin",1968,0,0.0,62151,2021
"Docks of New York, The",1928,2,1.0,18839,2014
"Doctor and the Monkey, The",1900,0,0.0,227438,2014
"Door in the Floor, The",2004,1,0.0,348593,2016
"Door, The",2012,3,0.0,1194577,2013
"Double Hour, The",2009,3,0.0,1379222,2011
"Double Life of Veronique, The",1991,3,0.0,101765,2011
"Double, The",2011,1,0.0,1646980,2013
"Double, The",2013,1,0.0,1825157,2021
"Dr. Mabuse, der Spieler - Ein Bild der Zeit",1922,3,0.0,13086,2014
"Dragon Spell, The",2016,1,0.0,5954304,2017
"Draughtsman&#39;s Contract, The",1982,2,0.0,83851,2011
"Dream Team, The",1989,0,0.0,97235,2013
"Dreamers, The",2003,2,1.0,309987,2011
"Dreamlife of Angels, The",1998,3,0.0,120449,2010
"Dressmaker, The",2015,3,1.0,2910904,2015
"Driver, The",1978,0,0.0,77474,2020
"Drop, The",2014,1,0.0,1600196,2014
"Dry, The",2021,3,1.0,5144174,2021
"Duchess, The",2008,3,0.0,864761,2012
"Duel, The",2016,1,0.0,2436682,2016
"Duelists, The",1977,1,0.0,75968,2019
"Duke of Burgundy, The",2015,3,0.0,2570858,2015
"Duncan and Another, Blacksmith Shop",1891,0,0.0,241393,2021
"Eagle Huntress, The",2016,1,0.0,3882074,2017
"Eagle, The",2011,0,0.0,1034389,2011
"East, The",2013,3,0.0,1869716,2013
"Eat, Pray, Love",2010,3,0.0,879870,2010
"Eclipse: Courtship of the Sun and Moon, The",1907,0,0.0,215737,2014
"Edge of Love, The",2008,3,0.0,819714,2012
"Edge of Seventeen, The",2016,3,0.0,1878870,2017
"Edukators, The",2004,3,1.0,408777,2017
"Egg and I, The",1947,3,0.0,39349,2011
"Emigrants, The",1971,3,0.0,67919,2019
"Emoji Movie, The",2017,1,0.0,4877122,2017
"Enchanted Cottage, The",1945,3,0.0,37671,2011
"Enchanted Drawing, The",1900,0,0.0,300,2013
"Enchanted Well, The",1903,0,0.0,189498,2014
"End of the Tour, The",2015,1,0.0,3416744,2015
"Endless, The",2017,1,0.0,3986820,2018
"Enemy Below, The",1957,0,0.0,50356,2011
"English Patient, The",1996,3,0.0,116209,2011
"Englishman Who Went Up a Hill But Came Down a Mountain, The",1995,0,0.0,112966,2020
"Ensemble, c&#39;est tout",2007,3,0.0,792965,2012
"Entity, The",1982,3,0.0,82334,2018
"Equalizer, The",2014,1,0.0,455944,2014
"Escape, The",2017,3,0.0,6069126,2018
"Ethicist, The",2015,3,0.0,12145728,2020
"Everything, Everything",2017,3,0.0,5001718,2017
"Evil Cult, The",1993,3,0.0,108624,2012
"Evil Dead, The",1981,1,1.0,83907,2013
"Evil Next Door, The",2020,3,1.0,11320192,2021
"Execution of Mary, Queen of Scots, The",1895,0,0.0,132134,2015
"Exile, The",1947,1,0.0,39360,2010
"Exorcism of Emily Rose, The",2005,3,0.0,404032,2013
"Exorcist, The",1973,3,0.0,70047,2010
"Expendables 2, The",2012,3,0.0,1764651,2012
"Expendables 3, The",2014,0,0.0,2333784,2014
"Expendables, The",2010,1,0.0,1320253,2010
"Experiment, The",2010,0,0.0,997152,2013
"Exterminating Angel, The",1962,3,0.0,56732,2022
"Extraordinary Adventures of Adele Blanc-Sec, The",2010,3,0.0,1179025,2011
"Eye, The",2008,3,0.0,406759,2009
"Eyes of Tammy Faye, The",2021,3,0.0,9115530,2021
"Fabulous World of Jules Verne, The",1958,0,0.0,52374,2010
"Factory, The",2012,3,0.0,1132285,2013
"Faculty, The",1998,3,1.0,133751,2009
"Fall, The",2006,3,1.0,460791,2011
"Fall, The",2013,3,0.0,2294189,2013
"Falling, The",2014,3,0.0,3294200,2015
"Family Man, The",2000,3,1.0,218967,2019
"Family Stone, The",2005,3,0.0,356680,2022
"Family That Preys, The",2008,3,0.0,1142798,2014
"Family, The",2013,3,0.0,2404311,2013
"Fan, The",1996,1,0.0,116277,2013
"Fanny, Annie &amp; Danny",2010,3,0.0,1614338,2015
"Fantastic Four, The",1994,1,0.0,109770,2012
"Farewell, The",2019,3,0.0,8637428,2019
